first,last,index,season_code,total_houseguests,age,age_rank,age_rank_percent,gender,BIPOC,LGBT,total_nominations,total_vetos,total_hoh,total_wins,wins_rank,wins_rank_percent,final_placement,placement_rank_percent
Jerry,MacDonald,122,bbus10,13,75,1,0.07692307692,M,N,N,5,2,2,4,2,0.1538461538,3,0.2307692308
Renny,Martyn,124,bbus10,13,53,2,0.1538461538,F,N,N,2,0,1,1,8,0.6153846154,5,0.3846153846
Steven,Daigle,131,bbus10,13,35,3,0.2307692308,M,N,Y,1,0,0,0,10,0.7692307692,12,0.9230769231
Libra,Thompson,128,bbus10,13,31,4,0.3076923077,F,Y,N,1,0,0,0,12,0.9230769231,9,0.6923076923
April,Dowling,127,bbus10,13,30,5,0.3846153846,F,N,N,1,0,1,1,7,0.5384615385,8,0.6153846154
Keesha,Smith,123,bbus10,13,29,6,0.4615384615,F,N,N,3,1,2,3,3,0.2307692308,4,0.3076923077
Angie,Swindell,130,bbus10,13,29,7,0.5384615385,F,Y,N,1,0,0,0,11,0.8461538462,11,0.8461538462
Michelle,Costa,126,bbus10,13,28,8,0.6153846154,F,Y,N,1,1,1,2,6,0.4615384615,7,0.5384615385
"Bryan ""Ollie""",Ollie,125,bbus10,13,27,9,0.6923076923,M,Y,N,1,0,0,0,13,1,6,0.4615384615
Brian,Hart,132,bbus10,13,27,10,0.7692307692,M,N,N,1,0,0,0,9,0.6923076923,13,1
"Robert ""Memphis""",Garrett,121,bbus10,13,25,11,0.8461538462,M,N,N,4,3,0,3,4,0.3076923077,2,0.1538461538
Dan,Gheesling,120,bbus10,13,24,12,0.9230769231,M,N,N,1,2,3,5,1,0.07692307692,1,0.07692307692
Jessie,Godderz,129,bbus10,13,22,13,1,M,N,N,3,1,1,2,5,0.3846153846,10,0.7692307692
Casey,Turner,143,bbus11,13,41,1,0.07692307692,M,N,N,1,0,0,0,12,0.9230769231,11,0.8461538462
Chima,Simone,140,bbus11,13,32,2,0.1538461538,F,Y,N,2,0,1,1,8,0.6153846154,8,0.6153846154
Jeff,Schroeder,137,bbus11,13,31,3,0.2307692308,M,N,N,2,3,1,4,1,0.07692307692,5,0.3846153846
Ronnie,Talbott,142,bbus11,13,30,4,0.3076923077,M,N,N,1,0,1,1,7,0.5384615385,10,0.7692307692
Kevin,Campbell,135,bbus11,13,29,5,0.3846153846,M,Y,Y,3,2,1,3,3,0.2307692308,3,0.2307692308
Braden,Bacha,145,bbus11,13,28,6,0.4615384615,M,N,N,1,0,0,0,10,0.7692307692,13,1
Michele,Noonan,136,bbus11,13,27,7,0.5384615385,F,N,Y,3,3,1,4,2,0.1538461538,4,0.3076923077
Natalie,Martinez,134,bbus11,13,24,8,0.6153846154,F,Y,N,5,0,1,1,9,0.6923076923,2,0.1538461538
Russell,Kairouz,138,bbus11,13,24,9,0.6923076923,M,Y,N,2,1,1,2,6,0.4615384615,6,0.4615384615
Lydia,Tavera,139,bbus11,13,24,10,0.7692307692,F,Y,Y,4,0,0,0,13,1,7,0.5384615385
Jessie,Godderz,141,bbus11,13,23,11,0.8461538462,M,N,N,1,0,2,2,5,0.3846153846,9,0.6923076923
Jordan,Lloyd,133,bbus11,13,22,12,0.9230769231,F,N,N,3,1,2,3,4,0.3076923077,1,0.07692307692
Laura,Crosby,144,bbus11,13,21,13,1,F,N,N,1,0,0,0,11,0.8461538462,12,0.9230769231
Kathy,Hillis,153,bbus12,13,40,1,0.07692307692,F,N,N,0,0,0,0,13,1,8,0.6153846154
Andrew,Gordon,156,bbus12,13,39,2,0.1538461538,M,N,N,0,0,0,0,11,0.8461538462,11,0.8461538462
Ragan,Fox,150,bbus12,13,34,3,0.2307692308,M,N,Y,0,2,0,2,6,0.4615384615,5,0.3846153846
Enzo,Palumbo,148,bbus12,13,32,4,0.3076923077,M,N,N,0,1,0,1,7,0.5384615385,3,0.2307692308
Matt,Hoffman,152,bbus12,13,32,5,0.3846153846,M,N,N,0,1,2,3,4,0.3076923077,7,0.5384615385
Brendon,Villegas,151,bbus12,13,30,6,0.4615384615,M,Y,N,0,3,1,4,2,0.1538461538,6,0.4615384615
Annie,Whittington,158,bbus12,13,27,7,0.5384615385,F,N,Y,0,0,0,0,9,0.6923076923,13,1
Rachel,Reilly,154,bbus12,13,26,8,0.6153846154,F,N,N,0,0,2,2,5,0.3846153846,9,0.6923076923
Hayden,Moss,146,bbus12,13,24,9,0.6923076923,M,N,N,0,1,4,5,1,0.07692307692,1,0.07692307692
Lane,Elenburg,147,bbus12,13,24,10,0.7692307692,M,N,N,0,0,1,1,8,0.6153846154,2,0.1538461538
Kristen,Bitting,155,bbus12,13,24,11,0.8461538462,F,N,N,0,0,0,0,12,0.9230769231,10,0.7692307692
Monet,Stunson,157,bbus12,13,24,12,0.9230769231,F,Y,N,0,0,0,0,10,0.7692307692,12,0.9230769231
